2025-04-10T18:58:07.944715+0800 INFO {'algor': 'aflcs', 'alpha': 0.1, 'batch_size': 16, 'cfg': 'config/config_aflcs_cifar10.yaml', 'cs': 0.005, 'data_path': './data', 'dataset': 'cifar10', 'epochs': 5, 'gpu': 0, 'iid': False, 'img_size': 32, 'in_channels': 3, 'lamda': 0.005, 'log_dir': './logs', 'log_interval': 100, 'log_path': 'niid_01_le5_r100_c10_b16/cifar10/aflcs', 'loss_name': 'cross_entropy', 'lr': 0.01, 'lr_scheduler_hyperparams': {'gamma': 0.9, 'step_size': 10}, 'lr_scheduler_name': 'step_lr', 'model_name': 'resnet18', 'momentum': 0.5, 'no_cuda': False, 'num_classes': 10, 'num_clients': 10, 'num_rounds': 100, 'num_select_clients_per_round': 10, 'num_workers': 0, 'optimizer_hyperparams': {'lr': 0.01, 'momentum': 0.5, 'weight_decay': 0.0}, 'optimizer_name': 'sgd', 'save_interval': 10, 'seed': 3407, 'sync': False, 'test_batch_size': 1000, 'verbose': False, 'weight_decay': 0.0}
2025-04-10T18:58:08.279241+0800 INFO initialize weights with kaiming
2025-04-10T18:58:08.370837+0800 INFO loading cifar10 dataset with iid=False and alpha=0.1 for client 9
2025-04-10T18:58:09.613613+0800 INFO Rank 10 has one client with id 9
2025-04-10T18:58:11.076753+0800 INFO Rank 10 received the global model
2025-04-10T18:58:11.077749+0800 INFO Client 9 | Rank: 10 | Update model
2025-04-10T18:58:12.490704+0800 INFO Client 9 | Rank: 10 | Epoch: 0/5 | Batch: 0/336 | Loss: 3.191295
2025-04-10T18:58:27.604502+0800 INFO Client 9 | Rank: 10 | Epoch: 0/5 | Batch: 100/336 | Loss: 1.833735
2025-04-10T18:58:43.011911+0800 INFO Client 9 | Rank: 10 | Epoch: 0/5 | Batch: 200/336 | Loss: 1.423982
2025-04-10T18:58:58.316981+0800 INFO Client 9 | Rank: 10 | Epoch: 0/5 | Batch: 300/336 | Loss: 1.366030
2025-04-10T18:59:03.749524+0800 INFO Client 9 | Rank: 10 | Epoch: 1/5 | Batch: 0/336 | Loss: 1.385007
2025-04-10T18:59:19.247663+0800 INFO Client 9 | Rank: 10 | Epoch: 1/5 | Batch: 100/336 | Loss: 1.172478
2025-04-10T18:59:34.073784+0800 INFO Client 9 | Rank: 10 | Epoch: 1/5 | Batch: 200/336 | Loss: 1.311958
2025-04-10T18:59:49.740542+0800 INFO Client 9 | Rank: 10 | Epoch: 1/5 | Batch: 300/336 | Loss: 0.730998
2025-04-10T18:59:55.282392+0800 INFO Client 9 | Rank: 10 | Epoch: 2/5 | Batch: 0/336 | Loss: 1.014380
2025-04-10T19:00:10.284842+0800 INFO Client 9 | Rank: 10 | Epoch: 2/5 | Batch: 100/336 | Loss: 0.836919
2025-04-10T19:00:25.601213+0800 INFO Client 9 | Rank: 10 | Epoch: 2/5 | Batch: 200/336 | Loss: 0.872091
2025-04-10T19:00:40.890429+0800 INFO Client 9 | Rank: 10 | Epoch: 2/5 | Batch: 300/336 | Loss: 1.854994
2025-04-10T19:00:46.204686+0800 INFO Client 9 | Rank: 10 | Epoch: 3/5 | Batch: 0/336 | Loss: 0.581218
2025-04-10T19:01:01.941375+0800 INFO Client 9 | Rank: 10 | Epoch: 3/5 | Batch: 100/336 | Loss: 1.172980
2025-04-10T19:01:16.974838+0800 INFO Client 9 | Rank: 10 | Epoch: 3/5 | Batch: 200/336 | Loss: 1.678605
2025-04-10T19:01:32.318913+0800 INFO Client 9 | Rank: 10 | Epoch: 3/5 | Batch: 300/336 | Loss: 1.184583
2025-04-10T19:01:37.687797+0800 INFO Client 9 | Rank: 10 | Epoch: 4/5 | Batch: 0/336 | Loss: 0.748021
2025-04-10T19:01:53.055141+0800 INFO Client 9 | Rank: 10 | Epoch: 4/5 | Batch: 100/336 | Loss: 0.886829
2025-04-10T19:02:08.653286+0800 INFO Client 9 | Rank: 10 | Epoch: 4/5 | Batch: 200/336 | Loss: 0.607525
2025-04-10T19:02:24.155590+0800 INFO Client 9 | Rank: 10 | Epoch: 4/5 | Batch: 300/336 | Loss: 0.938661
2025-04-10T19:02:30.261547+0800 INFO Rank 10 received the global model
2025-04-10T19:02:30.262542+0800 INFO Client 9 | Rank: 10 | Update model
2025-04-10T19:02:30.609016+0800 INFO Client 9 | Rank: 10 | Epoch: 0/5 | Batch: 0/336 | Loss: 2.810755
2025-04-10T19:02:45.663181+0800 INFO Client 9 | Rank: 10 | Epoch: 0/5 | Batch: 100/336 | Loss: 1.448566
2025-04-10T19:03:00.717840+0800 INFO Client 9 | Rank: 10 | Epoch: 0/5 | Batch: 200/336 | Loss: 1.657015
2025-04-10T19:03:15.971749+0800 INFO Client 9 | Rank: 10 | Epoch: 0/5 | Batch: 300/336 | Loss: 0.746218
2025-04-10T19:03:21.264582+0800 INFO Client 9 | Rank: 10 | Epoch: 1/5 | Batch: 0/336 | Loss: 0.618127
2025-04-10T19:03:36.462900+0800 INFO Client 9 | Rank: 10 | Epoch: 1/5 | Batch: 100/336 | Loss: 0.801576
2025-04-10T19:03:51.638458+0800 INFO Client 9 | Rank: 10 | Epoch: 1/5 | Batch: 200/336 | Loss: 1.166465
2025-04-10T19:04:07.282822+0800 INFO Client 9 | Rank: 10 | Epoch: 1/5 | Batch: 300/336 | Loss: 1.616346
2025-04-10T19:04:12.716990+0800 INFO Client 9 | Rank: 10 | Epoch: 2/5 | Batch: 0/336 | Loss: 0.734159
2025-04-10T19:04:27.901580+0800 INFO Client 9 | Rank: 10 | Epoch: 2/5 | Batch: 100/336 | Loss: 0.785411
2025-04-10T19:04:43.008087+0800 INFO Client 9 | Rank: 10 | Epoch: 2/5 | Batch: 200/336 | Loss: 0.728248
2025-04-10T19:04:57.806282+0800 INFO Client 9 | Rank: 10 | Epoch: 2/5 | Batch: 300/336 | Loss: 1.137135
2025-04-10T19:05:03.393966+0800 INFO Client 9 | Rank: 10 | Epoch: 3/5 | Batch: 0/336 | Loss: 1.269348
2025-04-10T19:05:18.674311+0800 INFO Client 9 | Rank: 10 | Epoch: 3/5 | Batch: 100/336 | Loss: 0.856372
2025-04-10T19:05:33.924756+0800 INFO Client 9 | Rank: 10 | Epoch: 3/5 | Batch: 200/336 | Loss: 0.751804
2025-04-10T19:05:49.063130+0800 INFO Client 9 | Rank: 10 | Epoch: 3/5 | Batch: 300/336 | Loss: 0.810207
2025-04-10T19:05:54.534119+0800 INFO Client 9 | Rank: 10 | Epoch: 4/5 | Batch: 0/336 | Loss: 0.486493
2025-04-10T19:06:09.897931+0800 INFO Client 9 | Rank: 10 | Epoch: 4/5 | Batch: 100/336 | Loss: 0.650069
2025-04-10T19:06:24.603407+0800 INFO Client 9 | Rank: 10 | Epoch: 4/5 | Batch: 200/336 | Loss: 0.624407
2025-04-10T19:06:39.802621+0800 INFO Client 9 | Rank: 10 | Epoch: 4/5 | Batch: 300/336 | Loss: 1.458027
2025-04-10T19:06:45.946548+0800 INFO Rank 10 received the global model
2025-04-10T19:06:45.947544+0800 INFO Client 9 | Rank: 10 | Update model
2025-04-10T19:06:46.239259+0800 INFO Client 9 | Rank: 10 | Epoch: 0/5 | Batch: 0/336 | Loss: 3.178339
