2025-04-10T20:54:51.370289+0800 INFO aggregate alpha: 0.00977489248524548 (cossim: 0.9960169792175293, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.bn2.running_var
2025-04-10T20:54:51.371283+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.bn2.num_batches_tracked
2025-04-10T20:54:51.372282+0800 INFO aggregate alpha: 0.008174119013832895 (cossim: 0.9999970197677612, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.downsample.0.weight
2025-04-10T20:54:51.372282+0800 INFO aggregate alpha: 0.0077980194617395145 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.downsample.1.weight
2025-04-10T20:54:51.373275+0800 INFO aggregate alpha: 0.008310283978910765 (cossim: 0.9969581365585327, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.downsample.1.bias
2025-04-10T20:54:51.374272+0800 INFO aggregate alpha: 0.009530309410143005 (cossim: 0.997970461845398, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.downsample.1.running_mean
2025-04-10T20:54:51.374272+0800 INFO aggregate alpha: 0.009496817272411614 (cossim: 0.9976662397384644, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.downsample.1.running_var
2025-04-10T20:54:51.375268+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.0.downsample.1.num_batches_tracked
2025-04-10T20:54:51.379249+0800 INFO aggregate alpha: 0.008199853784024453 (cossim: 0.9999685883522034, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.1.conv1.weight
2025-04-10T20:54:51.380244+0800 INFO aggregate alpha: 0.007753905436917889 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.1.bn1.weight
2025-04-10T20:54:51.380244+0800 INFO aggregate alpha: 0.008123780167680597 (cossim: 0.9964930415153503, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.1.bn1.bias
2025-04-10T20:54:51.381239+0800 INFO aggregate alpha: 0.009681631045356746 (cossim: 0.9934837222099304, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.1.bn1.running_mean
2025-04-10T20:54:51.382236+0800 INFO aggregate alpha: 0.009781184399612959 (cossim: 0.9943082332611084, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.1.bn1.running_var
2025-04-10T20:54:51.382236+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.1.bn1.num_batches_tracked
2025-04-10T20:54:51.386221+0800 INFO aggregate alpha: 0.008280428283774295 (cossim: 0.9999769926071167, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.1.conv2.weight
2025-04-10T20:54:51.387215+0800 INFO aggregate alpha: 0.0075577981402719634 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.1.bn2.weight
2025-04-10T20:54:51.387215+0800 INFO aggregate alpha: 0.008192321001597296 (cossim: 0.9962278604507446, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.1.bn2.bias
2025-04-10T20:54:51.388211+0800 INFO aggregate alpha: 0.009676412619578172 (cossim: 0.9941449761390686, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.1.bn2.running_mean
2025-04-10T20:54:51.389205+0800 INFO aggregate alpha: 0.009745713370417018 (cossim: 0.9916585087776184, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.1.bn2.running_var
2025-04-10T20:54:51.389205+0800 INFO aggregate alpha: 0.010022436128877361 (cossim: 1.0, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer3.1.bn2.num_batches_tracked
2025-04-10T20:54:51.398166+0800 INFO aggregate alpha: 0.008245483405235414 (cossim: 0.9999841451644897, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.conv1.weight
2025-04-10T20:54:51.399165+0800 INFO aggregate alpha: 0.007756675319974265 (cossim: 1.0000001192092896, client_weight: 0.0057, staleness: 1, comp_weight: 0) layer: resnet18.layer4.0.bn1.weight
