2025-04-10T18:58:08.144833+0800 INFO {'algor': 'aflcs', 'alpha': 0.1, 'batch_size': 16, 'cfg': 'config/config_aflcs_cifar10.yaml', 'cs': 0.005, 'data_path': './data', 'dataset': 'cifar10', 'epochs': 5, 'gpu': 0, 'iid': False, 'img_size': 32, 'in_channels': 3, 'lamda': 0.005, 'log_dir': './logs', 'log_interval': 100, 'log_path': 'niid_01_le5_r100_c10_b16/cifar10/aflcs', 'loss_name': 'cross_entropy', 'lr': 0.01, 'lr_scheduler_hyperparams': {'gamma': 0.9, 'step_size': 10}, 'lr_scheduler_name': 'step_lr', 'model_name': 'resnet18', 'momentum': 0.5, 'no_cuda': False, 'num_classes': 10, 'num_clients': 10, 'num_rounds': 100, 'num_select_clients_per_round': 10, 'num_workers': 0, 'optimizer_hyperparams': {'lr': 0.01, 'momentum': 0.5, 'weight_decay': 0.0}, 'optimizer_name': 'sgd', 'save_interval': 10, 'seed': 3407, 'sync': False, 'test_batch_size': 1000, 'verbose': False, 'weight_decay': 0.0}
2025-04-10T18:58:08.415639+0800 INFO initialize weights with kaiming
2025-04-10T18:58:08.507236+0800 INFO loading cifar10 dataset with iid=False and alpha=0.1 for client 5
2025-04-10T18:58:09.736070+0800 INFO Rank 6 has one client with id 5
2025-04-10T18:58:10.541115+0800 INFO Rank 6 received the global model
2025-04-10T18:58:10.541115+0800 INFO Client 5 | Rank: 6 | Update model
2025-04-10T18:58:11.737011+0800 INFO Client 5 | Rank: 6 | Epoch: 0/5 | Batch: 0/715 | Loss: 3.970632
2025-04-10T18:58:27.237110+0800 INFO Client 5 | Rank: 6 | Epoch: 0/5 | Batch: 100/715 | Loss: 2.611046
2025-04-10T18:58:42.444412+0800 INFO Client 5 | Rank: 6 | Epoch: 0/5 | Batch: 200/715 | Loss: 1.497674
2025-04-10T18:58:57.810197+0800 INFO Client 5 | Rank: 6 | Epoch: 0/5 | Batch: 300/715 | Loss: 0.882888
2025-04-10T18:59:13.373882+0800 INFO Client 5 | Rank: 6 | Epoch: 0/5 | Batch: 400/715 | Loss: 1.259534
2025-04-10T18:59:28.551405+0800 INFO Client 5 | Rank: 6 | Epoch: 0/5 | Batch: 500/715 | Loss: 1.716959
2025-04-10T18:59:43.533000+0800 INFO Client 5 | Rank: 6 | Epoch: 0/5 | Batch: 600/715 | Loss: 0.899789
2025-04-10T18:59:58.718225+0800 INFO Client 5 | Rank: 6 | Epoch: 0/5 | Batch: 700/715 | Loss: 1.211778
2025-04-10T19:00:01.078871+0800 INFO Client 5 | Rank: 6 | Epoch: 1/5 | Batch: 0/715 | Loss: 1.026231
2025-04-10T19:00:16.483742+0800 INFO Client 5 | Rank: 6 | Epoch: 1/5 | Batch: 100/715 | Loss: 1.021028
2025-04-10T19:00:31.690657+0800 INFO Client 5 | Rank: 6 | Epoch: 1/5 | Batch: 200/715 | Loss: 1.075624
2025-04-10T19:00:46.924928+0800 INFO Client 5 | Rank: 6 | Epoch: 1/5 | Batch: 300/715 | Loss: 1.766460
