2025-04-10T18:58:08.250367+0800 INFO {'algor': 'aflcs', 'alpha': 0.1, 'batch_size': 16, 'cfg': 'config/config_aflcs_cifar10.yaml', 'cs': 0.005, 'data_path': './data', 'dataset': 'cifar10', 'epochs': 5, 'gpu': 0, 'iid': False, 'img_size': 32, 'in_channels': 3, 'lamda': 0.005, 'log_dir': './logs', 'log_interval': 100, 'log_path': 'niid_01_le5_r100_c10_b16/cifar10/aflcs', 'loss_name': 'cross_entropy', 'lr': 0.01, 'lr_scheduler_hyperparams': {'gamma': 0.9, 'step_size': 10}, 'lr_scheduler_name': 'step_lr', 'model_name': 'resnet18', 'momentum': 0.5, 'no_cuda': False, 'num_classes': 10, 'num_clients': 10, 'num_rounds': 100, 'num_select_clients_per_round': 10, 'num_workers': 0, 'optimizer_hyperparams': {'lr': 0.01, 'momentum': 0.5, 'weight_decay': 0.0}, 'optimizer_name': 'sgd', 'save_interval': 10, 'seed': 3407, 'sync': False, 'test_batch_size': 1000, 'verbose': False, 'weight_decay': 0.0}
2025-04-10T18:58:08.510223+0800 INFO initialize weights with kaiming
2025-04-10T18:58:08.601819+0800 INFO loading cifar10 dataset with iid=False and alpha=0.1 for client 2
2025-04-10T18:58:09.991943+0800 INFO Rank 3 has one client with id 2
2025-04-10T18:58:10.162190+0800 INFO Rank 3 received the global model
2025-04-10T18:58:10.163185+0800 INFO Client 2 | Rank: 3 | Update model
2025-04-10T18:58:11.407302+0800 INFO Client 2 | Rank: 3 | Epoch: 0/5 | Batch: 0/440 | Loss: 3.294628
2025-04-10T18:58:26.613707+0800 INFO Client 2 | Rank: 3 | Epoch: 0/5 | Batch: 100/440 | Loss: 0.675226
2025-04-10T18:58:41.714629+0800 INFO Client 2 | Rank: 3 | Epoch: 0/5 | Batch: 200/440 | Loss: 0.792317
2025-04-10T18:58:56.902185+0800 INFO Client 2 | Rank: 3 | Epoch: 0/5 | Batch: 300/440 | Loss: 1.773564
2025-04-10T18:59:11.911772+0800 INFO Client 2 | Rank: 3 | Epoch: 0/5 | Batch: 400/440 | Loss: 0.973588
2025-04-10T18:59:18.291841+0800 INFO Client 2 | Rank: 3 | Epoch: 1/5 | Batch: 0/440 | Loss: 0.861269
2025-04-10T18:59:33.312144+0800 INFO Client 2 | Rank: 3 | Epoch: 1/5 | Batch: 100/440 | Loss: 1.262465
2025-04-10T18:59:48.702563+0800 INFO Client 2 | Rank: 3 | Epoch: 1/5 | Batch: 200/440 | Loss: 0.821777
2025-04-10T19:00:04.439369+0800 INFO Client 2 | Rank: 3 | Epoch: 1/5 | Batch: 300/440 | Loss: 0.944525
2025-04-10T19:00:19.440501+0800 INFO Client 2 | Rank: 3 | Epoch: 1/5 | Batch: 400/440 | Loss: 1.544529
2025-04-10T19:00:25.443390+0800 INFO Client 2 | Rank: 3 | Epoch: 2/5 | Batch: 0/440 | Loss: 0.936767
2025-04-10T19:00:40.751043+0800 INFO Client 2 | Rank: 3 | Epoch: 2/5 | Batch: 100/440 | Loss: 1.255237
2025-04-10T19:00:55.994154+0800 INFO Client 2 | Rank: 3 | Epoch: 2/5 | Batch: 200/440 | Loss: 0.701044
2025-04-10T19:01:11.754949+0800 INFO Client 2 | Rank: 3 | Epoch: 2/5 | Batch: 300/440 | Loss: 1.556499
2025-04-10T19:01:27.213587+0800 INFO Client 2 | Rank: 3 | Epoch: 2/5 | Batch: 400/440 | Loss: 2.175571
2025-04-10T19:01:33.280679+0800 INFO Client 2 | Rank: 3 | Epoch: 3/5 | Batch: 0/440 | Loss: 0.637287
2025-04-10T19:01:48.443114+0800 INFO Client 2 | Rank: 3 | Epoch: 3/5 | Batch: 100/440 | Loss: 0.950925
2025-04-10T19:02:03.538382+0800 INFO Client 2 | Rank: 3 | Epoch: 3/5 | Batch: 200/440 | Loss: 0.645666
2025-04-10T19:02:18.867637+0800 INFO Client 2 | Rank: 3 | Epoch: 3/5 | Batch: 300/440 | Loss: 0.566928
2025-04-10T19:02:33.857420+0800 INFO Client 2 | Rank: 3 | Epoch: 3/5 | Batch: 400/440 | Loss: 0.589810
2025-04-10T19:02:39.673199+0800 INFO Client 2 | Rank: 3 | Epoch: 4/5 | Batch: 0/440 | Loss: 0.891439
2025-04-10T19:02:55.101638+0800 INFO Client 2 | Rank: 3 | Epoch: 4/5 | Batch: 100/440 | Loss: 0.788586
2025-04-10T19:03:10.251011+0800 INFO Client 2 | Rank: 3 | Epoch: 4/5 | Batch: 200/440 | Loss: 0.660028
2025-04-10T19:03:25.828565+0800 INFO Client 2 | Rank: 3 | Epoch: 4/5 | Batch: 300/440 | Loss: 0.881223
2025-04-10T19:03:41.105087+0800 INFO Client 2 | Rank: 3 | Epoch: 4/5 | Batch: 400/440 | Loss: 0.528666
2025-04-10T19:03:47.807635+0800 INFO Rank 3 received the global model
2025-04-10T19:03:47.807635+0800 INFO Client 2 | Rank: 3 | Update model
2025-04-10T19:03:48.116282+0800 INFO Client 2 | Rank: 3 | Epoch: 0/5 | Batch: 0/440 | Loss: 3.590026
2025-04-10T19:04:03.406592+0800 INFO Client 2 | Rank: 3 | Epoch: 0/5 | Batch: 100/440 | Loss: 1.339047
2025-04-10T19:04:18.840233+0800 INFO Client 2 | Rank: 3 | Epoch: 0/5 | Batch: 200/440 | Loss: 1.208416
2025-04-10T19:04:33.895448+0800 INFO Client 2 | Rank: 3 | Epoch: 0/5 | Batch: 300/440 | Loss: 0.897997
2025-04-10T19:04:49.121463+0800 INFO Client 2 | Rank: 3 | Epoch: 0/5 | Batch: 400/440 | Loss: 1.100641
2025-04-10T19:04:55.263314+0800 INFO Client 2 | Rank: 3 | Epoch: 1/5 | Batch: 0/440 | Loss: 0.759280
2025-04-10T19:05:10.692811+0800 INFO Client 2 | Rank: 3 | Epoch: 1/5 | Batch: 100/440 | Loss: 0.997853
2025-04-10T19:05:26.241104+0800 INFO Client 2 | Rank: 3 | Epoch: 1/5 | Batch: 200/440 | Loss: 1.019189
2025-04-10T19:05:41.622275+0800 INFO Client 2 | Rank: 3 | Epoch: 1/5 | Batch: 300/440 | Loss: 1.058803
2025-04-10T19:05:57.049402+0800 INFO Client 2 | Rank: 3 | Epoch: 1/5 | Batch: 400/440 | Loss: 1.278590
2025-04-10T19:06:03.530587+0800 INFO Client 2 | Rank: 3 | Epoch: 2/5 | Batch: 0/440 | Loss: 1.224483
2025-04-10T19:06:18.633350+0800 INFO Client 2 | Rank: 3 | Epoch: 2/5 | Batch: 100/440 | Loss: 0.681502
2025-04-10T19:06:33.843191+0800 INFO Client 2 | Rank: 3 | Epoch: 2/5 | Batch: 200/440 | Loss: 0.633219
2025-04-10T19:06:49.235173+0800 INFO Client 2 | Rank: 3 | Epoch: 2/5 | Batch: 300/440 | Loss: 0.473039
